University,State,Location,Specialization,Established
Aligarh Muslim University,Uttar Pradesh,Aligarh,General,1920
"All India Institute of Medical Sciences, Bhopal",Madhya Pradesh,Bhopal,Medicine,2012
"All India Institute of Medical Sciences, Bhubaneswar",Odisha,Bhubaneswar,Medicine,2012
"All India Institute of Medical Sciences, Delhi",Delhi,Delhi,Medicine,1956
"All India Institute of Medical Sciences, Jodhpur",Rajasthan,Jodhpur,Medicine,2012
"All India Institute of Medical Sciences, Patna",Bihar,Patna,Medicine,2012
"All India Institute of Medical Sciences, Raipur",Chhattisgarh,Raipur,Medicine,2012
"All India Institute of Medical Sciences, Rishikesh",Uttarakhand,Rishikesh,Medicine,2012
Assam University,Assam,Silchar,General,1994
Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Lucknow,General,1996
Banaras Hindu University,Uttar Pradesh,Varanasi,General,1916
Central Agricultural University,Manipur,Imphal,Agriculture,1993
Central University of Andhra Pradesh,Andhra Pradesh,Anantapur,General,2019
Central University of Gujarat,Gujarat,Gandhinagar,General,2009
Central University of Haryana,Haryana,Mahendragarh,General,2009
Central University of Himachal Pradesh,Himachal Pradesh,Dharamsala,General,2009
Central University of Jammu,Jammu and Kashmir,Jammu,General,2011
Central University of Jharkhand,Jharkhand,Ranchi,General,2009
Central University of Karnataka,Karnataka,Kalaburagi,General,2009
Central University of Kashmir,Jammu and Kashmir,Srinagar,General,2009
Central University of Kerala,Kerala,Kasaragod,General,2009
Central University of Odisha,Odisha,Koraput,General,2009
Central University of Punjab,Punjab,Bathinda,General,2009
Central University of Rajasthan,Rajasthan,Ajmer,General,2009
Central University of South Bihar,Bihar,Gaya,General,2009
Central University of Tamil Nadu,Tamil Nadu,Tiruvarur,General,2009
Chanakya National Law University,Bihar,Patna,Law,2006
Damodaram Sanjivayya National Law University,Andhra Pradesh,Visakhapatnam,Law,2008
Dr. B R Ambedkar National Institute of Technology,Punjab,Jalandhar,Technology,1987
Dr. Hari Singh Gour University,Madhya Pradesh,Sagar,General,1946
Dr. Rajendra Prasad Central Agriculture University,Bihar,"Pusa, Samastipur",Agriculture,1905
Dr. Ram Manohar Lohia Institute of Medical Sciences,Uttar Pradesh,Lucknow,Medicine,2006
Dr. Ram Manohar Lohia National Law University,Uttar Pradesh,Lucknow,Law,2005
English and Foreign Languages University,Telangana,Hyderabad,English and Foreign languages,1958
Gujarat National Law University,Gujarat,Gandhinagar,Law,2004
Guru Ghasidas Vishwavidyalaya,Chhattisgarh,Bilaspur,General,1983
Hemwati Nandan Bahuguna Garhwal University,Uttarakhand,Srinagar,General,1973
Hidayatullah National Law University,Chhattisgarh,Raipur,Law,2003
"Indian Institute of Engineering Science and Technology, Shibpur",West Bengal,Howrah,Technology,1856
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Tamil Nadu,Chennai,Information Technology,2007
"Indian Institute of Information Technology and Management, Gwalior",Madhya Pradesh,Gwalior,Information Technology,2005
"Indian Institute of Information Technology, Allahabad",Uttar Pradesh,Allahabad,Information Technology,1999
"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",Madhya Pradesh,Jabalpur,Information Technology,2005
"Indian Institute of Information Technology, Kalyani",West Bengal,Kalyani,Information Technology,2014
"Indian Institute of Information Technology, Kurnool",Andhra Pradesh,Kurnool,Information Technology,2015
"Indian Institute of Information Technology, Sri City",Andhra Pradesh,Sri City,Information Technology,2013
Indian Institute of Management Amritsar,Punjab,Amritsar,Management,2015
Indian Institute of Management Bangalore,Karnataka,Bangalore,Management,1973
Indian Institute of Management Bodh Gaya,Bihar,Bodh Gaya,Management,2015
Indian Institute of Management Calcutta,West Bengal,Joka,Management,1961
Indian Institute of Management Indore,Madhya Pradesh,Indore,Management,1998
Indian Institute of Management Jammu,Jammu and Kashmir,Jammu,Management,2016
Indian Institute of Management Kashipur,Uttarakhand,Kashipur,Management,2011
Indian Institute of Management Kozhikode,Kerala,Kozhikode,Management,1996
Indian Institute of Management Lucknow,Uttar Pradesh,Lucknow,Management,1984
Indian Institute of Management Nagpur,Maharashtra,Nagpur,Management,2015
Indian Institute of Management Raipur,Chhattisgarh,Raipur,Management,2010
Indian Institute of Management Ranchi,Jharkhand,Ranchi,Management,2010
Indian Institute of Management Rohtak,Haryana,Rohtak,Management,2010
Indian Institute of Management Sambalpur,Odisha,Sambalpur,Management,2015
Indian Institute of Management Shillong,Meghalaya,Shillong,Management,2007
Indian Institute of Management Sirmaur,Himachal Pradesh,Sirmaur,Management,2015
Indian Institute of Management Tiruchirappalli,Tamil Nadu,Tiruchirappalli,Management,2011
Indian Institute of Management Udaipur,Rajasthan,Udaipur,Management,2011
Indian Institute of Management Visakhapatnam,Andhra Pradesh,Visakhapatnam,Management,2015
"Indian Institute of Management, Ahmedabad",Gujarat,Ahmedabad,Management,1961
Indian Institute of Petroleum and Energy,Andhra Pradesh,Visakhapatnam,Petroleum Technology,2016
Indian Institute of Science Education and Research Berhampur,Odisha,Berhampur,Science,2016
"Indian Institute of Science Education and Research, Bhopal",Madhya Pradesh,Bhopal,Science,2008
"Indian Institute of Science Education and Research, Kolkata",West Bengal,Kalyani,Science,2006
"Indian Institute of Science Education and Research, Mohali",Punjab,Mohali,Science,2007
"Indian Institute of Science Education and Research, Pune",Maharashtra,Pune,Science,2006
"Indian Institute of Science Education and Research, Thiruvananthapuram",Kerala,Thiruvananthapuram,Science,2008
"Indian Institute of Science Education and Research, Tirupati",Andhra Pradesh,Tirupati,Science,2015
Indian Institute of Technology (Banaras Hindu University) Varanasi,Uttar Pradesh,Varanasi,Technology,1919
"Indian Institute of Technology (ISM), Dhanbad",Jharkhand,Dhanbad,Technology,1926
Indian Institute of Technology Bhilai,Chhattisgarh,Raipur,Technology,2010
Indian Institute of Technology Bhubaneswar,Odisha,Bhubaneswar,Technology,2008
Indian Institute of Technology Bombay,Maharashtra,Mumbai,Technology,1958
Indian Institute of Technology Gandhinagar,Gujarat,Chandkheda,Technology,2008
Indian Institute of Technology Hyderabad,Telangana,Hyderabad,Technology,2008
Indian Institute of Technology Indore,Madhya Pradesh,Indore,Technology,2009
Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,Technology,2016
Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,Technology,1959
Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,Technology,1951
Indian Institute of Technology Madras,Tamil Nadu,Chennai,Technology,1959
Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,Technology,2009
Indian Institute of Technology Palakkad,Kerala,Palakkad,Technology,2015
Indian Institute of Technology Rajasthan,Rajasthan,Jodhpur,Technology,2008
Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,Technology,1847
Indian Institute of Technology Ropar,Punjab,Ropar,Technology,2008
Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,Technology,2015
"Indian Institute of Technology, Delhi",Delhi,Delhi,Technology,1961
"Indian Institute of Technology, Dharwad",Karnataka,Dharwad,Technology,2016
"Indian Institute of Technology, Guwahati",Assam,Guwahati,Technology,1994
"Indian Institute of Technology, Patna",Bihar,Patna,Technology,2008
Indian Maritime University,Tamil Nadu,Chennai,Marine science,2008
Indian Statistical Institute,West Bengal,Kolkata,Statistics,1931
Indira Gandhi Institute of Medical Sciences,Bihar,Patna,Medicine,1992
Indira Gandhi National Open University,Delhi,New Delhi,Distance education,1985
Indira Gandhi National Tribal University,Madhya Pradesh,Amarkantak,General,2007
Jamia Millia Islamia,Delhi,New Delhi,General,1920
Jawaharlal Institute of Postgraduate Medical Education and Research,Puducherry,Pondicherry,Medicine,2008
"Jawaharlal Nehru University, Delhi",Delhi,New Delhi,General,1969
"Maharashtra National Law University, Mumbai",Maharashtra,Mumbai,Law,2014
"Maharashtra National Law University, Nagpur",Maharashtra,Nagpur,Law,2016
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Maharashtra,Wardha,Hindi language,1997
Mahatma Gandhi Central University,Bihar,Motihari,General,2016
Malaviya National Institute of Technology Jaipur,Rajasthan,Jaipur,Technology,1963
Manipur University,Manipur,Imphal,General,1980
Maulana Azad National Institute of Technology,Madhya Pradesh,Bhopal,Technology,1960
Maulana Azad National Urdu University,Telangana,Hyderabad,Urdu language,1998
Mizoram University,Mizoram,Aizawl,General,2000
Motilal Nehru National Institute of Technology,Uttar Pradesh,Allahabad,Technology,1961
NALSAR University of Law,Telangana,Hyderabad,Law,1998
Nagaland University,Nagaland,Lumami,General,1994
Nalanda University,Bihar,"Rajgir, Nalanda",General,2010
"National Institute of Design, Ahmedabad",Gujarat,Ahmedabad,Design,1961
"National Institute of Design, Assam",Assam,Jorhat,Design,2019
"National Institute of Design, Haryana",Haryana,Kurukshetra,Design,2016
"National Institute of Design, Madhya Pradesh",Madhya Pradesh,Bhopal,Design,2019
"National Institute of Design, Vijayawada",Andhra Pradesh,Vijayawada,Design,2015
National Institute of Mental Health and Neurosciences,Karnataka,Bangalore,Medicine,1925
"National Institute of Pharmaceutical Education and Research, Ahmedabad",Gujarat,Ahmedabad,Pharmaceutical,2007
"National Institute of Pharmaceutical Education and Research, Guwahati",Assam,Guwahati,Pharmaceutical,2008
"National Institute of Pharmaceutical Education and Research, Hajipur",Bihar,Hajipur,Pharmaceutical,2007
"National Institute of Pharmaceutical Education and Research, Hyderabad",Telangana,Hyderabad,Pharmaceutical,2007
"National Institute of Pharmaceutical Education and Research, Kolkata",West Bengal,Kolkata,Pharmaceutical,2007
"National Institute of Pharmaceutical Education and Research, Mohali",Punjab,Mohali,Pharmaceutical,2007
"National Institute of Pharmaceutical Education and Research, Raebareli",Uttar Pradesh,Raebareli,Pharmaceutical,2007
National Institute of Technology Calicut,Kerala,Kozhikode,Technology,1961
National Institute of Technology Delhi,Delhi,Delhi,Technology,2010
National Institute of Technology Kurukshetra,Haryana,Kurukshetra,Technology,1963
National Institute of Technology Meghalaya,Meghalaya,Shillong,Technology,2010
National Institute of Technology Rourkela,Odisha,Rourkela,Technology,1961
National Institute of Technology Uttarakhand,Uttarakhand,Srinagar,Technology,2009
"National Institute of Technology, Agartala",Tripura,Agartala,Technology,2006
"National Institute of Technology, Andhra Pradesh",Andhra Pradesh,Tadepalligudem,Technology,2015
"National Institute of Technology, Arunachal Pradesh",Arunachal Pradesh,Yupia,Technology,2010
"National Institute of Technology, Durgapur",West Bengal,Durgapur,Technology,1960
"National Institute of Technology, Hamirpur",Himachal Pradesh,Hamirpur,Technology,1986
"National Institute of Technology, Jamshedpur",Jharkhand,Jamshedpur,Technology,1960
"National Institute of Technology, Karnataka",Karnataka,Surathkal,Technology,1960
"National Institute of Technology, Manipur",Manipur,Imphal,Technology,2010
"National Institute of Technology, Patna",Bihar,Patna,Technology,1924
"National Institute of Technology, Raipur",Chhattisgarh,Raipur,Technology,1956
"National Institute of Technology, Silchar",Assam,Silchar,Technology,1967
"National Institute of Technology, Srinagar",Jammu and Kashmir,Srinagar,Technology,1960
"National Institute of Technology, Tiruchirappalli",Tamil Nadu,Tiruchirappalli,Technology,1964
"National Institute of Technology, Warangal",Telangana,Warangal,Technology,1959
National Law Institute University,Madhya Pradesh,Bhopal,Law,1997
National Law School of India University,Karnataka,Bangalore,Law,1987
National Law University Odisha,Odisha,Cuttack,Law,2009
"National Law University and Judicial Academy, Assam",Assam,Guwahati,Law,2010
"National Law University, Delhi",Delhi,Delhi,Law,2008
"National Law University, Jodhpur",Rajasthan,Jodhpur,Law,2001
National Sports University,Manipur,Imphal,Sports,2018
National University of Advanced Legal Studies,Kerala,Kochi,Law,2005
National University of Study and Research in Law,Jharkhand,Ranchi,Law,2010
Nizam's Institute of Medical Sciences,Telangana,Hyderabad,Medicine,1980
North Eastern Hill University,Meghalaya,Shillong,General,1973
Pondicherry University,Puducherry,Pondicherry,General,1985
Rajiv Gandhi Institute of Petroleum Technology,Uttar Pradesh,Jais,Petroleum Technology,2007
Rajiv Gandhi National Aviation University,Uttar Pradesh,Raebareli,Aviation Science,2013
Rajiv Gandhi National University of Law,Punjab,Patiala,Law,2006
Rajiv Gandhi University,Arunachal Pradesh,Itanagar,General,1985
Rani Lakshmi Bai Central Agricultural University,Uttar Pradesh,Jhansi,Agriculture,2014
Sanjay Gandhi Postgraduate Institute of Medical Sciences,Uttar Pradesh,Lucknow,Medicine,1987
Sardar Vallabhbhai National Institute of Technology,Gujarat,Surat,Technology,1961
"School of Planning and Architecture, Bhopal",Madhya Pradesh,Bhopal,"Architecture, Planning",2008
"School of Planning and Architecture, Delhi",Delhi,Delhi,"Architecture, Planning",1941
"School of Planning and Architecture, Vijayawada",Andhra Pradesh,Vijayawada,"Architecture, Planning",2008
Sher-i-Kashmir Institute of Medical Sciences,Jammu and Kashmir,Srinagar,Medicine,1983
Sikkim University,Sikkim,Gangtok,General,2007
South Asian University,Delhi,New Delhi,International university,2010
Sree Chitra Tirunal Institute for Medical Sciences and Technology,Kerala,Thiruvananthapuram,Medicine,1973
Sri Venkateswara Institute of Medical Sciences,Andhra Pradesh,Tirupati,Medicine,1995
Tamil Nadu National Law School,Tamil Nadu,Tiruchirappalli,Law,2013
Tezpur University,Assam,Tezpur,General,1994
Tripura University,Tripura,Agartala,General,1987
University of Allahabad,Uttar Pradesh,Prayagraj,General,1887
University of Delhi,Delhi,New Delhi,General,1922
University of Hyderabad,Telangana,Hyderabad,General,1974
Visakha Institute of Medical Sciences,Andhra Pradesh,Visakhapatnam,Medicine,2016
Visva-Bharati University,West Bengal,Santiniketan,General,1921
Visvesvaraya National Institute of Technology,Maharashtra,Nagpur,Technology,1960
West Bengal National University of Juridical Sciences,West Bengal,Kolkata,Law,1999
